Usage ID,Subscription ID,Account ID,Usage Date,Usage Month,Feature Name,Usage Count,Usage Duration Secs,Error Count,Is Beta Feature
U-36a7e4,S-503afa,A-4e631b,2024-06-18,2024-06-01,feature_39,7,1281,0,False
U-71aedb,S-6ce794,A-45ce7a,2024-09-13,2024-09-01,feature_32,11,1408,0,True
U-8f850b,S-6f43f7,A-e36807,2024-11-25,2024-11-01,feature_36,11,2112,0,False
U-1533e3,S-cc4bf0,A-a1bbb6,2023-06-07,2023-06-01,feature_23,7,4046,1,True
U-a1cddd,S-7e2e5c,A-7df7a7,2024-10-12,2024-10-01,feature_31,13,3315,2,False
U-9f3c2a,S-39e88c,A-3b37d9,2024-10-25,2024-10-01,feature_8,16,8784,0,False
U-5d6a94,S-86e45a,A-56962b,2024-11-16,2024-11-01,feature_21,11,2629,5,False
U-62df4c,S-0e057d,A-cc98bc,2024-01-30,2024-01-01,feature_12,14,5810,0,False
U-d00bfb,S-863c87,A-e43bf7,2024-06-04,2024-06-01,feature_19,9,3717,0,False
U-79899d,S-afed2d,A-726cfa,2024-08-05,2024-08-01,feature_5,11,2013,0,False
U-abbb90,S-01fa46,A-6f50ae,2024-05-17,2024-05-01,feature_31,10,2410,2,False
U-7d5257,S-929a7c,A-328bd0,2024-12-16,2024-12-01,feature_20,6,1272,0,False
U-aa639b,S-ca0eb1,A-6e08f3,2024-09-09,2024-09-01,feature_6,6,2376,0,False
U-6a440d,S-a408fe,A-02fac6,2024-11-19,2024-11-01,feature_38,11,3817,0,False
U-7f928f,S-151fce,A-f03140,2023-12-28,2023-12-01,feature_21,13,2990,1,False
U-8b15aa,S-02a3aa,A-e2cd1b,2024-08-01,2024-08-01,feature_28,11,2145,0,False
U-dfb84b,S-c41b43,A-9f9299,2024-12-13,2024-12-01,feature_25,8,1864,0,False
U-8ab7ab,S-31d8aa,A-96bbc6,2024-09-27,2024-09-01,feature_36,9,5292,0,False
U-c72a1a,S-66a834,A-659280,2024-04-06,2024-04-01,feature_19,12,2832,0,False
U-baf889,S-f1aa04,A-7f4db3,2024-05-05,2024-05-01,feature_3,6,2970,2,False
U-53acc0,S-07abdd,A-f19409,2023-11-06,2023-11-01,feature_18,5,2925,0,True
U-f86b7c,S-e002a1,A-940b8b,2024-09-17,2024-09-01,feature_15,8,4680,3,False
U-81dc8e,S-4c8e19,A-659280,2024-12-24,2024-12-01,feature_39,7,2842,0,False
U-648980,S-de473d,A-e6afc1,2023-12-05,2023-12-01,feature_38,11,3850,1,False
U-71c2d1,S-9714fa,A-158f4e,2024-08-10,2024-08-01,feature_40,7,1596,0,False
U-69fedc,S-627697,A-977ca0,2023-07-15,2023-07-01,feature_27,13,2158,0,False
U-b73d27,S-19edee,A-55f257,2024-12-28,2024-12-01,feature_10,9,5283,0,False
U-f50dcc,S-27ab7f,A-dcc2f0,2024-01-26,2024-01-01,feature_38,15,840,0,False
U-cd7803,S-573f93,A-50bb9f,2024-10-31,2024-10-01,feature_6,8,4024,3,False
U-69e435,S-d232ad,A-1619f8,2024-07-03,2024-07-01,feature_24,7,371,1,False
U-e008f9,S-ab63e3,A-0354fe,2024-12-09,2024-12-01,feature_8,21,9303,1,False
U-ffa2b1,S-27e9ad,A-05f0e5,2023-10-31,2023-10-01,feature_30,14,1036,0,False
U-a60664,S-cac22d,A-19b2c8,2024-05-02,2024-05-01,feature_32,15,4995,0,False
U-fb470f,S-b7f657,A-019782,2024-02-28,2024-02-01,feature_7,7,1344,0,False
U-6a11b1,S-fa05d7,A-180abf,2024-11-24,2024-11-01,feature_31,12,1872,1,False
U-e65720,S-16be20,A-9c18c4,2024-06-01,2024-06-01,feature_5,8,1512,0,False
U-4ed6cf,S-4b005c,A-50f3f7,2024-12-05,2024-12-01,feature_22,11,4389,0,False
U-4b27e6,S-9f123c,A-9c18c4,2024-10-04,2024-10-01,feature_13,16,7472,0,False
U-a3252f,S-ff78bf,A-50f3f7,2024-10-06,2024-10-01,feature_15,9,1431,0,False
U-04de68,S-7730b1,A-e51ec7,2024-05-20,2024-05-01,feature_7,7,1267,1,False
U-0c9657,S-798707,A-6e7827,2024-03-29,2024-03-01,feature_2,11,3487,0,False
U-2d6696,S-bbff6f,A-df10db,2024-06-15,2024-06-01,feature_32,15,7875,0,False
U-ad4e3c,S-306a99,A-3a5ad8,2024-08-17,2024-08-01,feature_22,5,85,0,False
U-5a7745,S-fd8bb6,A-337bc1,2024-12-01,2024-12-01,feature_23,10,780,0,True
U-9129a3,S-3c853b,A-22d9d2,2024-09-30,2024-09-01,feature_12,11,4521,1,True
U-d9f014,S-041553,A-c608c8,2024-10-11,2024-10-01,feature_14,7,1176,0,False
U-79fd15,S-2573e4,A-7f8241,2024-10-31,2024-10-01,feature_24,10,5910,0,False
U-4375c4,S-869bba,A-b9f5b1,2024-11-11,2024-11-01,feature_38,13,5408,0,False
U-d169af,S-fa05d7,A-180abf,2024-10-23,2024-10-01,feature_27,11,1991,0,False
U-43c5b0,S-f4335b,A-075038,2024-11-11,2024-11-01,feature_12,10,480,0,False
U-18477b,S-39539d,A-2bc93d,2024-09-30,2024-09-01,feature_33,11,352,0,False
U-96bb4d,S-3e0c24,A-271f46,2023-12-14,2023-12-01,feature_7,2,408,0,False
U-2d674c,S-d74733,A-7641d3,2024-07-02,2024-07-01,feature_32,9,3744,0,False
U-c6c5b4,S-25b756,A-d82ef9,2024-09-17,2024-09-01,feature_10,11,4961,0,False
U-1edd34,S-5bc277,A-05d3b3,2024-02-21,2024-02-01,feature_38,13,3757,0,False
U-4d6d7e,S-16f4a2,A-e08cd3,2024-12-08,2024-12-01,feature_34,9,927,0,False
U-e5c767,S-f9df40,A-956988,2024-12-24,2024-12-01,feature_1,8,544,4,True
U-f30c30,S-648618,A-726cfa,2023-12-11,2023-12-01,feature_13,4,2248,0,False
U-aaa922,S-0586ad,A-7920cc,2024-10-08,2024-10-01,feature_3,10,3390,2,False
U-0a7851,S-00fb6e,A-c16101,2024-12-06,2024-12-01,feature_11,8,3456,0,False
U-39b9a6,S-d111f5,A-f03140,2024-06-01,2024-06-01,feature_22,8,968,0,True
U-859c70,S-b48787,A-02fac6,2024-02-17,2024-02-01,feature_12,2,824,2,False
U-886ee6,S-ce9977,A-42e5e1,2024-12-26,2024-12-01,feature_2,8,3360,3,False
U-a532b8,S-e4ba87,A-e40f45,2024-09-28,2024-09-01,feature_9,4,1932,1,False
U-ae1eca,S-9b8167,A-054577,2024-05-30,2024-05-01,feature_8,9,3285,0,False
U-6f2066,S-b33593,A-7641d3,2024-01-29,2024-01-01,feature_11,9,3303,1,False
U-c763d0,S-056775,A-ee42db,2024-10-05,2024-10-01,feature_1,9,4140,0,False
U-6798b6,S-f1cc81,A-7f8241,2024-03-09,2024-03-01,feature_38,9,2844,0,False
U-236afd,S-26bc22,A-59f724,2024-09-01,2024-09-01,feature_30,12,3828,0,False
U-227149,S-bb84b1,A-af0cd2,2023-10-19,2023-10-01,feature_26,8,2296,0,False
U-ff9829,S-82348a,A-4e960a,2024-06-30,2024-06-01,feature_7,12,4728,0,False
U-3e9dd8,S-1d661c,A-9c18c4,2024-07-20,2024-07-01,feature_39,13,871,1,False
U-ed5130,S-fc9cc3,A-9b9fe9,2024-07-11,2024-07-01,feature_12,10,2820,0,False
U-3e680e,S-1f9da0,A-977ca0,2024-08-09,2024-08-01,feature_36,14,2786,1,False
U-4024fd,S-3df6ee,A-afa505,2024-07-18,2024-07-01,feature_16,10,4900,0,False
U-efe0d4,S-cd6bb6,A-dbc825,2024-11-26,2024-11-01,feature_26,17,1853,0,False
U-056e95,S-770f21,A-a8d89d,2024-09-02,2024-09-01,feature_23,12,2556,0,False
U-528931,S-67595c,A-508199,2024-05-06,2024-05-01,feature_2,9,1134,0,False
U-50b109,S-a83bf1,A-089363,2024-09-17,2024-09-01,feature_39,5,2255,1,False
U-5defa4,S-f762a3,A-158f4e,2024-10-12,2024-10-01,feature_19,9,4095,1,False
U-f04580,S-52699f,A-df10db,2023-12-23,2023-12-01,feature_14,7,763,0,False
U-598036,S-3503b4,A-58b9ff,2024-12-19,2024-12-01,feature_39,9,558,0,False
U-69a6be,S-a7360b,A-00bed1,2024-10-17,2024-10-01,feature_10,14,6706,0,False
U-cc0a8b,S-da9362,A-b2225d,2024-10-19,2024-10-01,feature_35,10,2570,2,False
U-b62c70,S-d1dbf7,A-3b37d9,2024-11-15,2024-11-01,feature_20,8,1432,0,False
U-635a85,S-753a0a,A-ad64c6,2024-06-25,2024-06-01,feature_4,12,4512,0,False
U-2429d3,S-5178de,A-e61e98,2024-09-05,2024-09-01,feature_6,12,3228,0,False
U-bf3502,S-ea71b5,A-bad8c1,2024-09-09,2024-09-01,feature_14,9,378,0,True
U-168352,S-52b9a9,A-86902e,2024-06-26,2024-06-01,feature_14,11,4796,0,True
U-977d9e,S-79e254,A-474ad4,2024-09-07,2024-09-01,feature_12,8,3536,1,False
U-c1977a,S-2f07f6,A-9208f0,2024-03-21,2024-03-01,feature_12,8,2624,2,False
U-4a826a,S-65c079,A-417d2f,2023-11-17,2023-11-01,feature_12,6,780,0,False
U-e6393b,S-78c894,A-d792a6,2024-12-09,2024-12-01,feature_20,8,3384,0,False
U-4e53dd,S-50815c,A-e3bd71,2024-11-07,2024-11-01,feature_14,9,3060,0,False
U-a0f8ad,S-8ae507,A-72799b,2024-05-05,2024-05-01,feature_29,10,3920,1,False
U-ec2195,S-413a1d,A-7df7a7,2024-08-24,2024-08-01,feature_39,12,7128,0,False
U-fff658,S-509f0d,A-794a0b,2024-05-06,2024-05-01,feature_15,8,4768,0,False
U-1fb698,S-7456c5,A-8ae3fc,2024-10-12,2024-10-01,feature_37,11,3971,0,False
U-a9a4b3,S-47cf94,A-e5d6ab,2024-03-20,2024-03-01,feature_35,5,605,1,False
U-004f42,S-7cc0ec,A-a6d261,2024-07-27,2024-07-01,feature_28,8,3504,1,False
U-9411cb,S-0ba1fe,A-5a184f,2024-08-21,2024-08-01,feature_6,14,210,0,False
U-264e22,S-0144ac,A-5a215a,2024-12-14,2024-12-01,feature_34,10,5130,0,True
U-4c3805,S-b6793d,A-6f50ae,2024-12-22,2024-12-01,feature_1,9,3114,0,False
U-4f79ff,S-96ead2,A-6a4e2d,2024-10-10,2024-10-01,feature_19,6,2796,0,False
U-dd2a66,S-45baa6,A-0a282f,2024-12-22,2024-12-01,feature_27,12,996,0,False
U-14a05a,S-d9d52b,A-22d9d2,2024-10-11,2024-10-01,feature_14,7,2429,3,True
U-b10226,S-6c4770,A-fa3095,2024-10-12,2024-10-01,feature_20,10,4240,0,False
U-616ac7,S-9d8525,A-cab532,2024-04-09,2024-04-01,feature_8,16,8736,1,False
U-1a2c24,S-453f00,A-45ce7a,2023-08-24,2023-08-01,feature_38,14,4606,0,False
U-b8a483,S-f24609,A-151c9a,2023-10-04,2023-10-01,feature_21,12,4368,1,False
U-c271e0,S-c899a3,A-2446e3,2024-12-24,2024-12-01,feature_16,16,5456,5,False
U-f4490f,S-33e40e,A-86cdb4,2024-10-19,2024-10-01,feature_28,14,7994,0,False
U-a19605,S-2923fc,A-fa3095,2024-09-11,2024-09-01,feature_1,10,1200,2,False
U-a0b26e,S-9b8421,A-6a4e2d,2024-01-16,2024-01-01,feature_16,10,5690,0,False
U-5f0efa,S-455183,A-22d9d2,2024-07-11,2024-07-01,feature_30,14,462,0,False
U-d6e151,S-befdf1,A-68f37c,2024-03-17,2024-03-01,feature_7,13,5135,1,False
U-6b7aa1,S-635570,A-883b7d,2024-07-13,2024-07-01,feature_26,10,4640,1,False
U-4912d5,S-0b2ac3,A-d792a6,2024-08-31,2024-08-01,feature_22,3,741,2,False
U-c3499c,S-d604ec,A-67be94,2024-08-20,2024-08-01,feature_2,10,150,0,False
U-7d73f6,S-9daaad,A-e693b6,2024-04-21,2024-04-01,feature_31,15,4875,0,False
U-4776aa,S-c899a3,A-2446e3,2024-05-22,2024-05-01,feature_8,14,8232,0,False
U-bed88e,S-396546,A-832ec2,2024-09-23,2024-09-01,feature_2,13,2834,0,False
U-711271,S-ad02b5,A-c58f49,2024-12-09,2024-12-01,feature_23,11,6138,0,False
U-8fe1ce,S-8a4156,A-5a184f,2023-11-24,2023-11-01,feature_35,11,6600,3,False
U-c0dabc,S-a02981,A-7920cc,2024-12-20,2024-12-01,feature_19,4,2212,0,False
U-1d4379,S-6d507b,A-ffc04f,2024-06-10,2024-06-01,feature_27,5,670,0,False
U-8128da,S-6c969d,A-855a48,2024-05-27,2024-05-01,feature_34,9,2520,0,False
U-be7f33,S-ad3ef7,A-35083d,2024-04-12,2024-04-01,feature_17,13,377,0,False
U-1272cc,S-389426,A-922109,2024-08-01,2024-08-01,feature_8,6,3540,0,False
U-1f20b7,S-576519,A-cc98bc,2024-02-25,2024-02-01,feature_21,12,3420,0,False
U-284ec0,S-150c8e,A-58b9ff,2024-12-03,2024-12-01,feature_10,12,228,0,False
U-02f12f,S-fc9cc3,A-9b9fe9,2024-07-15,2024-07-01,feature_34,7,2730,0,False
U-07b8c4,S-e6b35a,A-3c1a3f,2024-04-12,2024-04-01,feature_38,9,4941,0,False
U-834ba1,S-81caea,A-3932db,2024-07-10,2024-07-01,feature_6,16,9040,3,False
U-75b58f,S-165850,A-d5a319,2024-12-11,2024-12-01,feature_17,13,4446,0,False
U-c494d9,S-812c7c,A-f5641b,2024-08-18,2024-08-01,feature_18,8,3352,2,False
U-220ee2,S-d322a2,A-4c6f11,2024-10-30,2024-10-01,feature_15,16,8480,1,False
U-0ff38e,S-97a57b,A-a0ca4e,2024-09-02,2024-09-01,feature_19,6,36,2,False
U-1d3c10,S-12e3ff,A-e43bf7,2023-11-16,2023-11-01,feature_11,8,1856,0,False
U-f65906,S-68e134,A-dbc825,2024-08-01,2024-08-01,feature_2,9,2682,0,True
U-0f8d52,S-55a520,A-726cfa,2023-09-06,2023-09-01,feature_34,10,1510,1,False
U-0d87c3,S-39c024,A-7df7a7,2023-11-29,2023-11-01,feature_15,13,3497,0,False
U-a5f57a,S-e093a9,A-80eeb6,2024-10-02,2024-10-01,feature_14,8,2568,0,False
U-28af0e,S-f3c329,A-1f0636,2024-11-15,2024-11-01,feature_12,11,4488,1,False
U-556fae,S-1ffdd8,A-ef84cf,2024-12-21,2024-12-01,feature_25,10,3640,0,False
U-7b4d7b,S-5ddeef,A-712f1c,2024-03-28,2024-03-01,feature_33,7,1967,0,False
U-3c3c88,S-c3cb12,A-ce550d,2024-11-17,2024-11-01,feature_40,8,4072,3,False
U-8a52f4,S-c27134,A-dec005,2024-11-15,2024-11-01,feature_28,14,3416,1,False
U-3c2721,S-742e23,A-aa9511,2024-09-17,2024-09-01,feature_34,11,4829,0,False
U-539a94,S-b250cc,A-029f69,2024-12-31,2024-12-01,feature_33,11,4389,0,True
U-6a9e7e,S-020222,A-02fac6,2024-12-16,2024-12-01,feature_13,5,560,0,False
U-2cc37b,S-d97ff1,A-7d514c,2024-08-26,2024-08-01,feature_30,11,6303,5,False
U-f668df,S-ba672b,A-1b9609,2024-10-13,2024-10-01,feature_30,20,10820,0,False
U-c5ba26,S-f9cb96,A-fd9422,2024-08-25,2024-08-01,feature_25,16,4192,0,False
U-664adb,S-2b550a,A-c7ffc2,2024-05-17,2024-05-01,feature_8,14,7742,1,False
U-6fe22b,S-af4e84,A-798a3f,2024-03-29,2024-03-01,feature_23,7,504,0,False
U-420ea4,S-6762fa,A-40a557,2024-05-06,2024-05-01,feature_1,11,2497,2,False
U-f4b0aa,S-bb1a91,A-5c046d,2024-09-26,2024-09-01,feature_35,6,1392,0,False
U-870d66,S-aba835,A-5b1bcd,2024-01-13,2024-01-01,feature_5,9,3519,0,False
U-dc4205,S-b75a31,A-a8b49c,2024-03-21,2024-03-01,feature_24,12,3492,0,False
U-3fe671,S-44c2c1,A-2d1036,2024-10-18,2024-10-01,feature_15,9,4473,0,False
U-0eeabf,S-2a312e,A-034368,2024-11-18,2024-11-01,feature_12,15,5955,5,False
U-861db7,S-448b6d,A-8adedc,2024-06-12,2024-06-01,feature_20,10,510,0,False
U-3516f8,S-3ae8d8,A-396e5f,2024-11-26,2024-11-01,feature_15,8,1480,0,True
U-c2aca1,S-9aa190,A-9b9fe9,2024-12-04,2024-12-01,feature_34,11,1683,0,False
U-959802,S-0a01c5,A-e888d1,2023-09-21,2023-09-01,feature_1,6,1956,0,False
U-9cebc4,S-24cdb5,A-592832,2024-11-29,2024-11-01,feature_21,10,4260,0,False
U-6d7d29,S-de543d,A-1e50e0,2023-10-23,2023-10-01,feature_18,9,5130,0,False
U-f616de,S-260e48,A-7f4db3,2024-03-08,2024-03-01,feature_35,12,360,0,False
U-2255ed,S-627697,A-977ca0,2023-09-17,2023-09-01,feature_18,10,3900,1,False
U-6f209d,S-b553d7,A-5b1bcd,2024-10-23,2024-10-01,feature_22,6,1080,0,False
U-311b92,S-f703bd,A-202b67,2024-11-12,2024-11-01,feature_7,6,3498,0,False
U-36d1bc,S-40cbc0,A-474ad4,2024-09-01,2024-09-01,feature_3,7,1218,0,False
U-0752b9,S-5ae105,A-296d7c,2024-09-26,2024-09-01,feature_3,15,4365,0,False
U-0f5d18,S-495e57,A-bbc346,2024-10-22,2024-10-01,feature_15,12,1560,0,False
U-1749fc,S-2dbf26,A-dfbd31,2024-08-16,2024-08-01,feature_4,9,4131,0,False
U-701aa0,S-726749,A-43a9e3,2024-09-21,2024-09-01,feature_9,16,992,0,False
U-edf33f,S-5d0af1,A-977ca0,2024-02-15,2024-02-01,feature_9,7,3066,0,True
U-8c9527,S-a36a36,A-4ef964,2024-11-13,2024-11-01,feature_4,4,2136,0,False
U-d619d3,S-2565f0,A-6a4e2d,2024-05-11,2024-05-01,feature_38,6,2862,0,False
U-365db8,S-33598f,A-32fb14,2024-12-10,2024-12-01,feature_17,9,1251,2,False
U-37ea3e,S-90a6c9,A-c37cab,2024-11-12,2024-11-01,feature_19,9,4032,1,True
U-acb3e8,S-207046,A-94d3da,2024-07-08,2024-07-01,feature_11,7,2331,0,False
U-f2ed76,S-93cf65,A-ff3c73,2024-12-28,2024-12-01,feature_31,8,1144,0,False
U-cd97fa,S-9210e7,A-dec005,2024-10-14,2024-10-01,feature_21,13,5031,0,False
U-cef115,S-e21910,A-50f3f7,2024-04-02,2024-04-01,feature_12,11,6270,0,False
U-330fa6,S-0896bc,A-9779ad,2024-12-20,2024-12-01,feature_27,10,4080,0,False
U-7ce03e,S-7501c9,A-94c3cd,2024-12-11,2024-12-01,feature_29,11,495,0,False
U-05b11e,S-d2863b,A-ac9111,2023-12-17,2023-12-01,feature_4,9,5391,4,False
U-fc93fc,S-39e88c,A-3b37d9,2024-05-03,2024-05-01,feature_19,11,495,1,False
U-970d6a,S-4f9730,A-8adedc,2024-12-31,2024-12-01,feature_23,7,105,0,False
U-93baec,S-c855b0,A-ac14bb,2024-04-26,2024-04-01,feature_25,6,3240,1,False
U-1fa0f9,S-4f5c94,A-6dee43,2023-10-27,2023-10-01,feature_12,12,612,0,False
U-f431af,S-936e80,A-5a3eb9,2024-06-12,2024-06-01,feature_28,7,1939,0,False
U-12fe46,S-ec690c,A-328bd0,2023-10-28,2023-10-01,feature_15,6,2826,0,False
U-737916,S-b559da,A-e19ff6,2024-06-13,2024-06-01,feature_39,4,2356,0,False
U-515d2c,S-6a017c,A-6f8ad2,2024-12-13,2024-12-01,feature_11,7,4165,0,False
U-589cea,S-983266,A-dcc2f0,2024-10-22,2024-10-01,feature_29,9,1989,1,False
U-4a0b26,S-c45df0,A-a45270,2024-11-23,2024-11-01,feature_39,8,416,0,False
U-fe7355,S-7717d6,A-378b99,2024-12-11,2024-12-01,feature_40,14,7280,0,True
U-39f86b,S-f72b84,A-f44180,2024-07-12,2024-07-01,feature_26,8,3664,0,False
U-88c608,S-d4e525,A-7988d1,2024-09-22,2024-09-01,feature_6,7,4095,0,False
U-b97ca6,S-3647aa,A-94d3da,2024-09-17,2024-09-01,feature_17,15,2700,0,False
U-ac4247,S-9fc31d,A-a7bd4b,2024-08-24,2024-08-01,feature_19,7,1162,0,False
U-3d979b,S-383fc5,A-474ad4,2024-11-10,2024-11-01,feature_15,10,1210,0,False
U-cf5966,S-ef00f5,A-e36807,2024-10-22,2024-10-01,feature_34,10,5980,0,False
U-f245d0,S-6b977f,A-7988d1,2024-11-04,2024-11-01,feature_10,12,6336,0,False
U-8fc431,S-6904e6,A-39b19f,2023-12-03,2023-12-01,feature_1,6,1254,4,False
U-8d3f5f,S-a8f236,A-855a48,2024-09-05,2024-09-01,feature_10,6,2562,0,True
U-67057b,S-f3138f,A-3b5cd1,2024-09-07,2024-09-01,feature_27,12,6816,0,False
U-bb737a,S-aaeb34,A-90a8c8,2024-10-28,2024-10-01,feature_19,12,3732,0,False
U-67d4ef,S-07e821,A-e61e98,2023-12-01,2023-12-01,feature_2,4,96,0,False
U-650cda,S-47e122,A-271f46,2024-10-08,2024-10-01,feature_18,10,950,0,False
U-f931c1,S-ccd045,A-96215d,2024-08-29,2024-08-01,feature_8,8,3192,0,False
U-6e1b88,S-838330,A-5a215a,2024-06-27,2024-06-01,feature_9,12,264,0,False
U-c4d8c7,S-477317,A-d5a319,2024-10-01,2024-10-01,feature_8,13,6136,1,False
U-cc350f,S-a68f4f,A-2ebb4b,2024-10-12,2024-10-01,feature_12,9,3924,0,True
U-75659d,S-cf55da,A-2f6a32,2024-10-19,2024-10-01,feature_17,6,2082,1,False
U-9bd645,S-6c877e,A-712533,2024-01-08,2024-01-01,feature_16,8,112,2,False
U-0ff5f4,S-17bedf,A-4437e4,2024-05-11,2024-05-01,feature_12,10,1430,0,False
U-6dbfd9,S-f1778c,A-1d5444,2024-09-26,2024-09-01,feature_9,8,128,2,False
U-ccd9b6,S-249448,A-dbc825,2024-08-05,2024-08-01,feature_38,13,5486,0,False
U-d1ece6,S-ca72d9,A-bcf664,2024-02-13,2024-02-01,feature_10,11,803,2,False
U-11d500,S-f6f97e,A-02cd81,2024-07-31,2024-07-01,feature_5,11,2497,0,False
U-52c721,S-b93c11,A-9f9299,2024-08-11,2024-08-01,feature_32,9,3006,0,False
U-4ef70b,S-846d41,A-1986ca,2024-10-21,2024-10-01,feature_21,11,4367,0,True
U-f597fc,S-2a73e2,A-10b8f2,2024-03-12,2024-03-01,feature_28,9,981,0,False
U-5a7738,S-127844,A-f446b6,2024-07-26,2024-07-01,feature_40,9,3735,0,False
U-4253f2,S-70e232,A-331424,2024-08-05,2024-08-01,feature_35,9,351,0,False
U-971d5c,S-e32bf8,A-3ce5b8,2024-10-05,2024-10-01,feature_1,7,3248,0,False
U-f584a0,S-4af421,A-6c093d,2024-08-08,2024-08-01,feature_22,5,2480,0,False
U-f8db30,S-42af3d,A-40de06,2024-05-23,2024-05-01,feature_32,16,8192,0,False
U-3f091a,S-515485,A-f3ff05,2024-10-19,2024-10-01,feature_11,9,720,0,False
U-a26729,S-31e347,A-cb6cc6,2024-07-05,2024-07-01,feature_38,5,1800,0,False
U-ab6d23,S-5e8d9f,A-df10db,2024-09-26,2024-09-01,feature_26,15,5685,1,False
U-6ab76f,S-e2e052,A-91e948,2024-10-24,2024-10-01,feature_32,12,5868,0,False
U-3d06e2,S-e1de58,A-ce550d,2024-11-28,2024-11-01,feature_14,9,3564,0,False
U-ec4124,S-ac3a32,A-e08cd3,2024-12-01,2024-12-01,feature_18,11,286,0,False
