account_id,account_name,industry,country,signup_date,referral_source,signup_month
A-88c6ca,Company_179,FinTech,DE,2024-11-01,ads,2024-11-01
A-158f4e,Company_180,FinTech,IN,2023-06-02,other,2023-06-01
A-5b051a,Company_181,Cybersecurity,US,2024-09-18,event,2024-09-01
A-296d7c,Company_182,DevTools,DE,2024-01-30,other,2024-01-01
A-1619f8,Company_183,DevTools,US,2024-06-09,organic,2024-06-01
A-a1b80b,Company_184,HealthTech,US,2024-03-11,organic,2024-03-01
A-139c3b,Company_185,HealthTech,US,2024-11-26,organic,2024-11-01
A-702032,Company_186,HealthTech,US,2024-04-24,ads,2024-04-01
A-7a0d69,Company_187,DevTools,DE,2024-07-21,ads,2024-07-01
A-22d9d2,Company_188,DevTools,FR,2024-03-27,event,2024-03-01
A-b9eed8,Company_189,Cybersecurity,US,2024-03-16,organic,2024-03-01
A-dfbd31,Company_190,DevTools,UK,2023-12-10,partner,2023-12-01
A-8e47ca,Company_191,HealthTech,US,2024-02-27,organic,2024-02-01
A-4437e4,Company_192,Cybersecurity,US,2023-11-17,event,2023-11-01
A-779e4e,Company_193,HealthTech,US,2023-01-09,organic,2023-01-01
A-53f4e3,Company_194,Cybersecurity,UK,2024-06-17,event,2024-06-01
A-692f18,Company_195,EdTech,US,2024-03-29,other,2024-03-01
A-13466a,Company_196,DevTools,AU,2023-11-18,event,2023-11-01
A-1986ca,Company_197,HealthTech,IN,2023-07-06,ads,2023-07-01
A-0cc442,Company_198,EdTech,US,2024-07-27,organic,2024-07-01
A-c608c8,Company_199,DevTools,DE,2023-06-30,ads,2023-06-01
A-3be56b,Company_200,HealthTech,IN,2023-11-22,event,2023-11-01
A-354f12,Company_201,FinTech,US,2024-05-28,ads,2024-05-01
A-68f37c,Company_202,HealthTech,US,2023-07-24,ads,2023-07-01
A-aa9511,Company_203,DevTools,US,2023-10-11,other,2023-10-01
A-af0cd2,Company_204,Cybersecurity,IN,2023-01-12,other,2023-01-01
A-bd4513,Company_205,DevTools,AU,2024-11-12,event,2024-11-01
A-c222ab,Company_206,Cybersecurity,US,2024-08-24,other,2024-08-01
A-34d880,Company_207,Cybersecurity,AU,2024-04-18,ads,2024-04-01
A-508199,Company_208,FinTech,AU,2024-01-30,event,2024-01-01
A-f03140,Company_209,DevTools,IN,2023-12-11,event,2023-12-01
A-410e86,Company_210,FinTech,US,2024-11-16,organic,2024-11-01
A-fa2041,Company_211,HealthTech,US,2024-06-11,organic,2024-06-01
A-de58ca,Company_212,HealthTech,DE,2023-04-20,organic,2023-04-01
A-05d3b3,Company_213,DevTools,AU,2023-07-12,ads,2023-07-01
A-249769,Company_214,Cybersecurity,US,2024-06-08,event,2024-06-01
A-e43bf7,Company_215,Cybersecurity,AU,2023-05-21,other,2023-05-01
A-eb2fdc,Company_216,DevTools,AU,2024-02-24,organic,2024-02-01
A-e1462e,Company_217,FinTech,UK,2023-04-03,partner,2023-04-01
A-cab532,Company_218,DevTools,FR,2023-04-21,organic,2023-04-01
A-9123ac,Company_219,Cybersecurity,DE,2023-10-25,organic,2023-10-01
A-6e08f3,Company_220,Cybersecurity,US,2023-07-25,event,2023-07-01
A-d922bf,Company_221,HealthTech,US,2023-10-29,ads,2023-10-01
A-8ed5dd,Company_222,EdTech,UK,2023-08-08,event,2023-08-01
A-7c6b6b,Company_223,FinTech,US,2024-12-06,other,2024-12-01
A-3c1a3f,Company_224,DevTools,UK,2023-08-31,event,2023-08-01
A-b48f73,Company_225,EdTech,AU,2024-11-15,event,2024-11-01
A-76fa4d,Company_226,HealthTech,US,2024-11-26,event,2024-11-01
A-b2af2e,Company_227,Cybersecurity,UK,2024-08-26,event,2024-08-01
A-9bfc9f,Company_228,DevTools,CA,2023-09-19,ads,2023-09-01
A-4ae22a,Company_229,EdTech,US,2024-05-28,other,2024-05-01
A-fda07f,Company_230,Cybersecurity,FR,2024-08-24,partner,2024-08-01
A-de24d5,Company_231,DevTools,US,2024-11-06,other,2024-11-01
A-977ca0,Company_232,HealthTech,IN,2023-02-20,partner,2023-02-01
A-ab438f,Company_233,Cybersecurity,US,2024-10-18,ads,2024-10-01
A-e89151,Company_234,FinTech,UK,2023-11-14,organic,2023-11-01
A-40906c,Company_235,EdTech,US,2024-05-28,ads,2024-05-01
A-81edc3,Company_236,Cybersecurity,IN,2023-11-07,ads,2023-11-01
A-328bd0,Company_237,HealthTech,AU,2023-08-10,partner,2023-08-01
A-b3fe05,Company_238,Cybersecurity,CA,2024-06-06,partner,2024-06-01
A-09540c,Company_239,Cybersecurity,CA,2024-04-11,event,2024-04-01
A-e693b6,Company_240,FinTech,AU,2023-08-01,event,2023-08-01
A-2446e3,Company_241,EdTech,IN,2024-01-21,organic,2024-01-01
A-241e75,Company_242,EdTech,US,2024-07-11,partner,2024-07-01
A-922109,Company_243,Cybersecurity,US,2024-03-23,ads,2024-03-01
A-ff3c73,Company_244,HealthTech,AU,2023-04-06,other,2023-04-01
A-8b0451,Company_245,FinTech,UK,2024-09-21,event,2024-09-01
A-331424,Company_246,DevTools,US,2024-01-04,organic,2024-01-01
A-51ec1b,Company_247,DevTools,US,2024-02-10,ads,2024-02-01
A-bcf664,Company_248,DevTools,US,2023-06-16,other,2023-06-01
A-90a8c8,Company_249,FinTech,AU,2024-08-25,organic,2024-08-01
A-86cdb4,Company_250,DevTools,DE,2024-10-06,partner,2024-10-01
A-4bfa33,Company_251,Cybersecurity,US,2024-12-10,event,2024-12-01
A-dbc825,Company_252,EdTech,FR,2024-01-19,partner,2024-01-01
A-c70870,Company_253,Cybersecurity,US,2024-11-11,partner,2024-11-01
A-7c4956,Company_254,DevTools,US,2023-06-05,ads,2023-06-01
A-0651a4,Company_255,HealthTech,FR,2024-10-27,organic,2024-10-01
A-3ce5b8,Company_256,FinTech,IN,2023-12-15,ads,2023-12-01
A-bd4708,Company_257,FinTech,US,2024-07-24,ads,2024-07-01
A-993085,Company_258,HealthTech,US,2023-08-05,ads,2023-08-01
A-92a3af,Company_259,Cybersecurity,IN,2024-07-23,organic,2024-07-01
A-151c9a,Company_260,FinTech,US,2023-05-08,ads,2023-05-01
A-474ad4,Company_261,EdTech,US,2023-12-04,organic,2023-12-01
A-4ef964,Company_262,HealthTech,US,2024-04-01,organic,2024-04-01
A-fd9422,Company_263,Cybersecurity,US,2024-05-08,organic,2024-05-01
A-0baac2,Company_264,FinTech,DE,2024-06-02,organic,2024-06-01
A-bb1486,Company_265,HealthTech,US,2024-11-13,organic,2024-11-01
A-560d27,Company_266,DevTools,US,2024-05-31,organic,2024-05-01
A-0b0d6d,Company_267,DevTools,US,2024-12-30,organic,2024-12-01
A-2789e3,Company_268,FinTech,US,2024-09-18,partner,2024-09-01
A-b07346,Company_269,HealthTech,US,2024-11-06,partner,2024-11-01
A-902ef7,Company_270,HealthTech,US,2024-09-05,other,2024-09-01
A-20736a,Company_271,EdTech,IN,2024-05-09,organic,2024-05-01
A-e4bf56,Company_272,HealthTech,IN,2024-11-17,ads,2024-11-01
A-cea1f0,Company_273,FinTech,US,2024-06-01,event,2024-06-01
A-ef84cf,Company_274,EdTech,US,2024-03-12,partner,2024-03-01
A-d49cc5,Company_275,Cybersecurity,FR,2024-02-13,event,2024-02-01
A-67be94,Company_276,EdTech,US,2023-08-29,organic,2023-08-01
A-4e960a,Company_277,FinTech,US,2024-02-07,other,2024-02-01
A-c37cab,Company_278,Cybersecurity,UK,2024-07-30,event,2024-07-01
A-533452,Company_279,DevTools,AU,2024-11-21,organic,2024-11-01
A-443b7c,Company_280,Cybersecurity,US,2024-09-16,other,2024-09-01
A-1f7acb,Company_281,FinTech,UK,2023-09-01,ads,2023-09-01
A-f51f16,Company_282,HealthTech,US,2024-02-18,partner,2024-02-01
A-5a3eb9,Company_283,DevTools,CA,2023-09-20,other,2023-09-01
A-5f2961,Company_284,HealthTech,US,2024-11-27,partner,2024-11-01
A-417d2f,Company_285,Cybersecurity,IN,2023-07-04,partner,2023-07-01
A-e98302,Company_286,EdTech,US,2024-01-21,ads,2024-01-01
A-8bde0c,Company_287,DevTools,US,2024-11-04,organic,2024-11-01
A-bcf87c,Company_288,FinTech,US,2024-07-22,event,2024-07-01
A-54ecc2,Company_289,Cybersecurity,US,2023-08-16,partner,2023-08-01
A-625d0b,Company_290,EdTech,AU,2024-09-25,ads,2024-09-01
A-fce879,Company_291,EdTech,UK,2024-09-28,partner,2024-09-01
A-b07b56,Company_292,DevTools,US,2024-11-16,event,2024-11-01
A-6da850,Company_293,FinTech,IN,2023-10-08,organic,2023-10-01
A-342303,Company_294,EdTech,US,2024-05-03,other,2024-05-01
A-e7a1e2,Company_295,Cybersecurity,US,2024-07-19,event,2024-07-01
A-f1f639,Company_296,EdTech,US,2023-07-03,ads,2023-07-01
A-a865bd,Company_297,Cybersecurity,US,2024-01-17,organic,2024-01-01
A-4e631b,Company_298,FinTech,US,2024-03-18,other,2024-03-01
A-7f6b86,Company_299,HealthTech,US,2023-08-30,partner,2023-08-01
A-8adedc,Company_300,EdTech,US,2024-02-22,event,2024-02-01
A-2edab2,Company_301,HealthTech,US,2023-11-22,event,2023-11-01
A-149a69,Company_302,DevTools,US,2024-12-05,event,2024-12-01
A-a6d261,Company_303,FinTech,CA,2023-12-13,other,2023-12-01
A-443f6f,Company_304,Cybersecurity,US,2024-12-08,organic,2024-12-01
A-202b67,Company_305,HealthTech,US,2024-03-27,organic,2024-03-01
A-00bed1,Company_306,Cybersecurity,US,2023-11-16,ads,2023-11-01
A-ffc04f,Company_307,EdTech,US,2024-06-08,ads,2024-06-01
A-65c341,Company_308,FinTech,US,2024-02-15,ads,2024-02-01
A-dcc2f0,Company_309,FinTech,UK,2023-10-02,organic,2023-10-01
A-ced9aa,Company_310,DevTools,US,2024-10-11,other,2024-10-01
A-3d957b,Company_311,HealthTech,UK,2024-07-15,other,2024-07-01
A-89ee83,Company_312,Cybersecurity,US,2024-10-18,organic,2024-10-01
A-883b7d,Company_313,Cybersecurity,IN,2024-04-21,other,2024-04-01
A-dcc3f1,Company_314,HealthTech,US,2023-12-27,event,2023-12-01
A-c62e55,Company_315,EdTech,US,2023-11-15,partner,2023-11-01
A-e4144b,Company_316,EdTech,UK,2024-11-10,other,2024-11-01
A-e40f45,Company_317,HealthTech,US,2024-05-15,organic,2024-05-01
A-96215d,Company_318,FinTech,US,2024-08-17,event,2024-08-01
A-2b9d3e,Company_319,EdTech,US,2023-09-06,partner,2023-09-01
A-b7724f,Company_320,HealthTech,UK,2023-06-03,organic,2023-06-01
A-310452,Company_321,DevTools,FR,2024-12-26,other,2024-12-01
A-eb1312,Company_322,FinTech,US,2024-09-18,partner,2024-09-01
A-df1e44,Company_323,Cybersecurity,UK,2024-03-08,organic,2024-03-01
A-6a7c9d,Company_324,Cybersecurity,US,2024-11-12,organic,2024-11-01
A-cbd1a3,Company_325,DevTools,US,2024-11-26,other,2024-11-01
A-a8d89d,Company_326,EdTech,US,2023-12-12,ads,2023-12-01
A-600734,Company_327,DevTools,US,2024-01-13,organic,2024-01-01
A-86fc1d,Company_328,DevTools,UK,2024-08-08,partner,2024-08-01
A-78f02b,Company_329,HealthTech,US,2024-11-19,event,2024-11-01
A-acb7f7,Company_330,EdTech,US,2024-01-07,ads,2024-01-01
A-712f1c,Company_331,DevTools,US,2024-01-03,ads,2024-01-01
A-3793ee,Company_332,Cybersecurity,CA,2023-11-20,organic,2023-11-01
A-9a532a,Company_333,HealthTech,US,2024-08-28,partner,2024-08-01
A-2ebb4b,Company_334,HealthTech,US,2023-06-04,ads,2023-06-01
A-6843f2,Company_335,HealthTech,CA,2024-12-11,ads,2024-12-01
A-c9bb3e,Company_336,EdTech,US,2024-04-01,ads,2024-04-01
A-4814a3,Company_337,Cybersecurity,IN,2024-09-27,event,2024-09-01
A-b7b7b7,Company_338,FinTech,US,2024-07-12,event,2024-07-01
A-ccc747,Company_339,HealthTech,FR,2024-05-13,event,2024-05-01
A-bb3bd4,Company_340,HealthTech,US,2024-04-05,ads,2024-04-01
A-09316c,Company_341,FinTech,AU,2024-09-19,organic,2024-09-01
A-96bbc6,Company_342,Cybersecurity,US,2024-05-23,organic,2024-05-01
A-bc4d48,Company_343,EdTech,US,2024-06-26,ads,2024-06-01
A-b30291,Company_344,HealthTech,US,2024-04-09,event,2024-04-01
A-cdf020,Company_345,DevTools,AU,2023-12-01,organic,2023-12-01
A-e6afc1,Company_346,DevTools,US,2023-05-24,ads,2023-05-01
A-e3bd71,Company_347,Cybersecurity,US,2023-04-03,partner,2023-04-01
A-b179bf,Company_348,Cybersecurity,IN,2024-10-27,ads,2024-10-01
A-098560,Company_349,DevTools,UK,2023-12-10,ads,2023-12-01
A-82861f,Company_350,DevTools,UK,2024-05-18,organic,2024-05-01
A-94c3cd,Company_351,FinTech,CA,2024-01-06,other,2024-01-01
A-a33200,Company_352,HealthTech,US,2024-09-26,partner,2024-09-01
A-034368,Company_353,EdTech,US,2023-12-14,event,2023-12-01
A-b54c01,Company_354,DevTools,US,2024-10-07,event,2024-10-01
A-d82ef9,Company_355,EdTech,UK,2024-07-14,other,2024-07-01
A-bb2f49,Company_356,Cybersecurity,US,2023-06-29,other,2023-06-01
A-1f559b,Company_357,HealthTech,US,2023-12-12,organic,2023-12-01
A-5a215a,Company_358,EdTech,FR,2024-01-31,other,2024-01-01
A-3f9cc0,Company_359,HealthTech,US,2024-06-23,event,2024-06-01
A-f9cc74,Company_360,DevTools,FR,2024-10-12,partner,2024-10-01
A-ed510f,Company_361,Cybersecurity,IN,2023-03-09,partner,2023-03-01
A-5c9849,Company_362,EdTech,IN,2024-11-10,partner,2024-11-01
A-a7bd4b,Company_363,Cybersecurity,US,2023-03-19,ads,2023-03-01
A-d4ac0e,Company_364,DevTools,UK,2024-05-10,ads,2024-05-01
A-ffdfd5,Company_365,EdTech,US,2024-04-24,organic,2024-04-01
A-0dbdc6,Company_366,Cybersecurity,DE,2023-06-14,other,2023-06-01
A-7cfe77,Company_367,DevTools,US,2024-07-30,ads,2024-07-01
A-1f0636,Company_368,EdTech,AU,2024-02-27,partner,2024-02-01
A-40de06,Company_369,Cybersecurity,US,2023-06-03,event,2023-06-01
A-cb5333,Company_370,DevTools,US,2024-04-01,ads,2024-04-01
A-309e54,Company_371,DevTools,US,2024-12-13,other,2024-12-01
A-6e7827,Company_372,DevTools,US,2023-06-11,other,2023-06-01
A-50bb9f,Company_373,Cybersecurity,US,2024-07-22,organic,2024-07-01
A-5fe118,Company_374,Cybersecurity,US,2024-12-02,other,2024-12-01
A-5247b3,Company_375,FinTech,UK,2024-03-23,partner,2024-03-01
A-f44180,Company_376,Cybersecurity,UK,2023-03-25,event,2023-03-01
